Items in the Home,Friends Going Shopping
-6.547033841,-11.30423815
-6.36180136,-10.27599403
-6.216046258,-8.931829782
-5.976361864,-8.869692223
-5.779162345,-8.608282408
-5.695051518,-8.10810069
-5.342727001,-7.851966747
-5.325618756,-7.71879119
-5.308045299,-7.667415617
-5.198608962,-7.569765335
-5.086777476,-7.445833232
-5.008732537,-7.363094892
-4.938591015,-7.273420505
-4.840764135,-6.550578737
-4.826993513,-6.306718561
-4.697692978,-6.18013032
-4.543834032,-6.042266443
-4.533064485,-5.974133961
-4.461000696,-5.967094197
-4.442462516,-5.936142805
-4.383845982,-5.81110556
-4.23783025,-5.799065659
-4.203199434,-5.789103548
-4.183317877,-5.769338244
-4.074983545,-5.667904775
-4.02972745,-5.582447726
-3.997523699,-5.580113209
-3.967596407,-5.571298391
-3.937072209,-5.38275227
-3.916161736,-5.126674615
-3.861715297,-5.064827586
-3.77791906,-5.01677838
-3.762382601,-4.926799825
-3.751813037,-4.887498255
-3.742951044,-4.862216366
-3.725366996,-4.657221808
-3.714456056,-4.581472913
-3.670409339,-4.416594525
-3.630718428,-4.347496625
-3.628573255,-4.159351318
-3.62389983,-4.110356495
-3.595698966,-4.071048039
-3.535390544,-4.025038575
-3.519938024,-3.729254581
-3.513636085,-3.560123649
-3.494182692,-3.251765924
-3.492447763,-3.247165318
-3.490615237,-3.225131611
-3.478982765,-3.206621611
-3.478805308,-3.167630869
-3.461794011,-3.076927649
-3.460388611,-2.992864222
-3.457494122,-2.896340318
-3.455068784,-2.786470603
-3.445994108,-2.776751086
-3.4451569,-2.707904362
-3.413452728,-2.597630885
-3.399331048,-2.536217757
-3.393048136,-2.506602813
-3.387693946,-2.320797293
-3.384800796,-2.293034736
-3.360018631,-2.289175347
-3.350106958,-2.262513229
-3.345952787,-2.202709754
-3.345735642,-2.192150539
-3.345326597,-2.123519768
-3.330439619,-2.091406243
-3.298768549,-1.959090995
-3.281947507,-1.879332609
-3.26856494,-1.861720472
-3.262531467,-1.84402192
-3.257908454,-1.616563234
-3.202476099,-1.558355486
-3.191540166,-1.549290748
-3.157472975,-1.506703304
-3.155521331,-1.491543979
-3.095798498,-1.477100643
-3.087935606,-1.473389617
-3.084333549,-1.387338326
-3.081685742,-1.337230136
-3.018406251,-1.307883635
-2.997172927,-1.302122683
-2.989144757,-1.26409827
-2.976338388,-1.199893587
-2.965419394,-1.195230815
-2.96369986,-1.084589874
-2.956677203,-1.041169949
-2.922453467,-1.034196667
-2.911951126,-0.895340436
-2.899570482,-0.690855236
-2.899387725,-0.599328247
-2.881675234,-0.59391533
-2.875566497,-0.556322714
-2.848377942,-0.522606661
-2.845895901,-0.496530596
-2.84097866,-0.474370765
-2.84097866,-0.459941158
-2.83992797,-0.429178253
-2.835152625,-0.385830761
-2.831884477,-0.375374293
-2.817392334,-0.326953173
-2.798370841,-0.28195462
-2.798370841,-0.211174365
-2.783559976,-0.152238871
-2.783028784,-0.138756175
-2.779351811,-0.032832333
-2.755962221,0.015169786
-2.745686197,0.032686026
-2.73262974,0.062002815
-2.713995024,0.111650778
-2.710131963,0.116087287
-2.699400518,0.143566123
-2.684931378,0.248865342
-2.679359753,0.273371293
-2.66647459,0.29025775
-2.660710426,0.295937666
-2.648623987,0.300150684
-2.642527634,0.31637279
-2.637290004,0.329132413
-2.635236909,0.373524491
-2.623176557,0.417225417
-2.615806618,0.440058248
-2.608255419,0.456488023
-2.604754764,0.466384376
-2.600532179,0.468685177
-2.600532179,0.470547755
-2.585000853,0.476542233
-2.574286939,0.486817364
-2.574286939,0.574455587
-2.570005713,0.604028108
-2.554402586,0.605492029
-2.541624225,0.614223072
-2.528646014,0.674392921
-2.522923291,0.682972437
-2.473770604,0.70135298
-2.460802145,0.725073981
-2.459278443,0.728917178
-2.444270795,0.747035888
-2.431962361,0.750919181
-2.429879,0.765786903
-2.42001399,0.786018604
-2.414538431,0.79700144
-2.405012387,0.850195325
-2.404766069,0.868466936
-2.402643452,0.872808929
-2.362556268,0.91050113
-2.316661107,0.934509983
-2.3087561,1.04169706
-2.307002902,1.08239989
-2.298863075,1.1367932
-2.296694371,1.172406683
-2.295947044,1.18349243
-2.275729627,1.191039688
-2.267590896,1.197078032
-2.254446436,1.201142803
-2.242083008,1.208796047
-2.229880677,1.228128151
-2.21838705,1.228207613
-2.215717087,1.252344111
-2.199711787,1.304492599
-2.19145832,1.339633648
-2.191336862,1.381050993
-2.171681749,1.434320038
-2.170893982,1.45128935
-2.125395404,1.451959298
-2.121938274,1.457505037
-2.119778074,1.480453602
-2.114307092,1.516976752
-2.106098973,1.562563812
-2.103796941,1.565738383
-2.081177411,1.608675365
-2.075045668,1.614903437
-2.072532926,1.652347147
-2.070422558,1.750009872
-2.05283072,1.755443835
-2.044740056,1.883151575
-2.04290175,1.948880319
-2.031443408,1.970458947
-2.014778655,1.97228523
-2.011104879,2.053717119
-1.992812218,2.087913717
-1.986608079,2.107180983
-1.981943882,2.159208803
-1.970512973,2.182812529
-1.963593271,2.185309233
-1.961722142,2.219587724
-1.92976558,2.223602988
-1.929612842,2.228931501
-1.926602357,2.243852329
-1.922083784,2.25467415
-1.911164028,2.263572587
-1.898781665,2.276171773
-1.891220653,2.295378065
-1.879687921,2.344050579
-1.871480654,2.370882322
-1.867946406,2.37528645
-1.863569281,2.424205466
-1.844827914,2.45437289
-1.837889883,2.462019657
-1.811192242,2.503459567
-1.805742398,2.519991971
-1.798489135,2.550536938
-1.790768821,2.570868107
-1.786608004,2.581390612
-1.782694634,2.601272704
-1.782203952,2.63728345
-1.779622786,2.671444224
-1.777930837,2.703584735
-1.772011406,2.723860011
-1.772011406,2.746340628
-1.770949459,2.748409671
-1.7695095,2.773225327
-1.757427561,2.781029628
-1.7544252,2.78690324
-1.753379672,2.829050312
-1.747531742,2.879848123
-1.74677729,2.902514867
-1.742425039,2.940147986
-1.731187851,2.955800689
-1.726195566,3.019523843
-1.717909693,3.060853022
-1.715972901,3.10684833
-1.714555146,3.112141464
-1.706152607,3.124848775
-1.705190789,3.147478878
-1.703928967,3.170630547
-1.703629053,3.192820913
-1.697877481,3.237265429
-1.697877481,3.243328089
-1.660917123,3.264824105
-1.654927209,3.297363738
-1.65361225,3.308502392
-1.6403862,3.343022917
-1.634769866,3.379444095
-1.621832109,3.409215207
-1.608768494,3.450247008
-1.608206251,3.451721361
-1.599822916,3.466982611
-1.599779306,3.476570199
-1.595742777,3.484037064
-1.579681387,3.519989871
-1.577051632,3.579535958
-1.57209297,3.588926405
-1.56985097,3.609998051
-1.569223088,3.690196252
-1.568027207,3.713556609
-1.566993203,3.738337195
-1.565587777,3.763882976
-1.552357809,3.77829344
-1.551380114,3.790032901
-1.55113236,3.799705833
-1.546409012,3.818850161
-1.544387082,3.830534187
-1.539233594,3.832944489
-1.537933506,3.848050889
-1.534407339,3.887205594
-1.534407339,3.902147751
-1.534294487,3.916574784
-1.533066747,3.923760326
-1.526484436,3.984025495
-1.520989916,4.015203399
-1.519888077,4.025991343
-1.519271234,4.027391628
-1.517935884,4.068419632
-1.517313741,4.08673114
-1.506616356,4.095461035
-1.506378989,4.097190553
-1.497134988,4.103558311
-1.495726725,4.111631641
-1.488828913,4.113542468
-1.483323731,4.200069278
-1.469078424,4.210816073
-1.468563736,4.260680183
-1.465895799,4.27460177
-1.453295914,4.281298904
-1.452513015,4.315188674
-1.438872551,4.323127724
-1.41219691,4.368761465
-1.408407657,4.391980185
-1.407936354,4.423268522
-1.399200004,4.448293844
-1.388652804,4.448972609
-1.378459683,4.452107972
-1.374626792,4.456158971
-1.371430502,4.47807771
-1.360730678,4.536201653
-1.329324209,4.545744174
-1.317470045,4.573945406
-1.31682034,4.611061622
-1.312389452,4.612089294
-1.301346039,4.643687633
-1.292494114,4.646174128
-1.280593496,4.657184958
-1.270297918,4.70004571
-1.265163715,4.823086005
-1.258410227,4.832114993
-1.256047094,4.843460677
-1.256047094,4.861799747
-1.252207409,4.901487867
-1.250024629,4.916551136
-1.2473654,4.919170949
-1.246917442,4.985977538
-1.241462315,5.026022558
-1.24048505,5.061090736
-1.217085452,5.080842077
-1.217085452,5.127405044
-1.215167603,5.142749847
-1.209398393,5.177547418
-1.206801532,5.18378241
-1.203078119,5.19476253
-1.195713126,5.198200551
-1.193800947,5.203672794
-1.191987725,5.204216833
-1.166138069,5.237715663
-1.164592584,5.24634647
-1.159281205,5.247707868
-1.158113508,5.252133987
-1.157851903,5.25836721
-1.157263111,5.297549915
-1.157246247,5.350877241
-1.156243012,5.355393821
-1.149712131,5.361172994
-1.138781619,5.387138742
-1.126340532,5.422681844
-1.119826891,5.452450657
-1.116433096,5.486793734
-1.108560973,5.490525423
-1.108513566,5.517277372
-1.101099866,5.549160557
-1.095287734,5.608721255
-1.086037842,5.622604026
-1.085852423,5.622689361
-1.073525682,5.646581745
-1.061281817,5.667341531
-1.05119941,5.777946796
-1.051106633,5.817998043
-1.047011124,5.86299138
-1.045050273,5.871576792
-1.042793507,5.897614473
-1.033228798,5.993948927
-1.029608229,6.008134599
-1.028739468,6.010402531
-1.013523381,6.022493205
-1.011396365,6.027629514
-0.994002557,6.046374058
-0.984496868,6.079705885
-0.977525275,6.090453279
-0.968925535,6.128044014
-0.968862883,6.180429159
-0.967840773,6.190699887
-0.96430294,6.229747028
-0.961234498,6.25711191
-0.960188382,6.323068736
-0.958937127,6.345068794
-0.95010855,6.355677093
-0.944742357,6.377275368
-0.936967254,6.383312331
-0.926854155,6.451728152
-0.920335651,6.486234198
-0.918779573,6.523814489
-0.917180456,6.532552038
-0.915852961,6.581225434
-0.913070109,6.584556579
-0.903797224,6.631956223
-0.902389926,6.697426676
-0.895284878,6.733933115
-0.884673698,6.73632828
-0.876779542,6.7746919
-0.875954184,6.788863859
-0.866504594,6.847399938
-0.864673414,6.887290076
-0.864580038,6.949824393
-0.86366284,6.953862439
-0.861472,6.963319897
-0.859563554,7.012367131
-0.857293091,7.018531837
-0.856911297,7.144078554
-0.848945728,7.145173309
-0.845911269,7.204580754
-0.834449111,7.205607529
-0.83414475,7.228471759
-0.831645145,7.23471136
-0.819093615,7.286446586
-0.818470547,7.341522218
-0.814228744,7.377016127
-0.812476654,7.42483203
-0.809936965,7.490492808
-0.803732341,7.545742916
-0.803732341,7.647936878
-0.796286425,7.731501453
-0.796286425,8.184807055
-0.796286425,8.429360184
-0.794384596,8.589836294
-0.790802001,8.674048148
-0.781393513,8.682121436
-0.776486288,8.687540871
-0.774556461,8.765080787
-0.774556461,8.77676235
-0.774556461,8.805443726
-0.774556461,8.847970795
-0.772452004,8.872203305
-0.771822532,8.996884626
-0.765348345,9.32268463
-0.754980858,9.337240357
-0.727433824,9.646974192
-0.727085519,10.06686751
-0.722734175,10.1985768
-0.722275869,10.42916594
-0.721361931,10.48343878
-0.721340998,10.51398366
-0.720876161,10.53044049
-0.719242395,11.05475028
-0.713289846,11.14132679
-0.705418998,11.43419189
-0.704597712,11.55236348
-0.703871521,12.4086731
-0.703871521,14.41115806
-0.703754386,15.82485887
-0.702633125,
-0.701165184,
-0.700467908,
-0.693711129,
-0.681334788,
-0.672592946,
-0.660914613,
-0.657771802,
-0.649302123,
-0.647956363,
-0.640271279,
-0.635739516,
-0.634022165,
-0.62636892,
-0.62636892,
-0.625422265,
-0.624692149,
-0.619441957,
-0.607852956,
-0.606765905,
-0.605892352,
-0.602592921,
-0.602592921,
-0.602320742,
-0.602162822,
-0.586822488,
-0.579303328,
-0.568241882,
-0.568181137,
-0.566491117,
-0.562066328,
-0.554159936,
-0.541987343,
-0.541389577,
-0.537509391,
-0.53236137,
-0.530813985,
-0.526050602,
-0.516223863,
-0.513955676,
-0.512182014,
-0.50997933,
-0.49575816,
-0.488797808,
-0.487636885,
-0.485621009,
-0.471099132,
-0.468968039,
-0.457476842,
-0.451465042,
-0.435938042,
-0.433293779,
-0.432225882,
-0.426297144,
-0.416572162,
-0.413490927,
-0.411793422,
-0.411100641,
-0.40604898,
-0.399606515,
-0.399229841,
-0.397951203,
-0.396851831,
-0.39158944,
-0.387832872,
-0.379117015,
-0.376895281,
-0.370898782,
-0.368405585,
-0.366221355,
-0.366221355,
-0.358078406,
-0.357662694,
-0.35487813,
-0.351870152,
-0.350704184,
-0.345189899,
-0.337515741,
-0.337415381,
-0.334807518,
-0.333576567,
-0.332305028,
-0.329451895,
-0.327833672,
-0.32602164,
-0.32602164,
-0.320451999,
-0.313844535,
-0.31006376,
-0.307740307,
-0.307583472,
-0.303599429,
-0.298856963,
-0.298856963,
-0.290196907,
-0.287283858,
-0.281706268,
-0.274428261,
-0.27377325,
-0.273236934,
-0.268863661,
-0.268401789,
-0.261592052,
-0.259499363,
-0.259499363,
-0.251823048,
-0.241852214,
-0.240331791,
-0.238819146,
-0.238773986,
-0.229848154,
-0.22733438,
-0.217280917,
-0.210634197,
-0.202523869,
-0.201951935,
-0.197693554,
-0.197693554,
-0.19115595,
-0.185681779,
-0.172488459,
-0.170951166,
-0.1699163,
-0.168715551,
-0.162684046,
-0.151254093,
-0.150158584,
-0.148811238,
-0.148811238,
-0.144536411,
-0.142485082,
-0.141756871,
-0.139461149,
-0.134499669,
-0.130916936,
-0.124575781,
-0.115301416,
-0.113078835,
-0.111437039,
-0.101835616,
-0.100921781,
-0.09707247,
-0.096203844,
-0.093356958,
-0.089512322,
-0.088470649,
-0.086132396,
-0.084215108,
-0.084150085,
-0.074084037,
-0.067984585,
-0.066681607,
-0.066505098,
-0.051626562,
-0.041621726,
-0.04133652,
-0.036272337,
-0.034788773,
-0.029415055,
-0.026323754,
-0.023386223,
-0.01852226,
-0.012108595,
-0.010878461,
-0.01029867,
-0.009777624,
-0.006887327,
-0.005389856,
-0.004433726,
-0.003638149,
-0.000831355,
-0.000531742,
0.001004884,
0.001018531,
0.001186862,
0.002253885,
0.006687998,
0.007782655,
0.007782655,
0.008298946,
0.011398378,
0.018496861,
0.020314255,
0.025472343,
0.031352287,
0.034430757,
0.034954575,
0.034954575,
0.035474647,
0.038703503,
0.042403529,
0.042689749,
0.043674572,
0.04434986,
0.044942987,
0.044942987,
0.047978683,
0.050171961,
0.055961126,
0.06551177,
0.069253588,
0.080287437,
0.081256834,
0.084228766,
0.096571216,
0.100112534,
0.104825964,
0.108157457,
0.108260608,
0.117309923,
0.127614716,
0.128104208,
0.128339456,
0.135046869,
0.137270993,
0.137270993,
0.137818532,
0.137998716,
0.14107006,
0.149016516,
0.152901263,
0.157394641,
0.169813135,
0.175287239,
0.177146938,
0.180942113,
0.187848778,
0.195272308,
0.197383933,
0.202893285,
0.205519357,
0.208359398,
0.214097254,
0.218761719,
0.218761719,
0.218828989,
0.220907079,
0.222021258,
0.222021258,
0.222321331,
0.223032109,
0.225343726,
0.225598659,
0.229285972,
0.230121623,
0.234135846,
0.234676857,
0.235738659,
0.236220246,
0.23889391,
0.243089088,
0.244936411,
0.244936411,
0.24632121,
0.2465622,
0.247768695,
0.250302158,
0.251866294,
0.255760673,
0.257365846,
0.258305617,
0.258305617,
0.270053194,
0.270869322,
0.274220077,
0.274247871,
0.276101767,
0.279383339,
0.280400172,
0.280939782,
0.281548699,
0.281551589,
0.28202524,
0.287916508,
0.292106795,
0.292106795,
0.292106795,
0.292723763,
0.294715626,
0.296473938,
0.299598362,
0.305132373,
0.309301852,
0.312475476,
0.316945453,
0.321855549,
0.322029486,
0.32353885,
0.325667153,
0.329323156,
0.339105386,
0.339105386,
0.342540632,
0.343848033,
0.353285569,
0.360698523,
0.371825965,
0.372889115,
0.372934991,
0.3756074,
0.376434293,
0.377993806,
0.383264821,
0.383595992,
0.387407327,
0.388381136,
0.390198399,
0.392614235,
0.394854796,
0.396288616,
0.40353409,
0.404144815,
0.411824825,
0.414900362,
0.418737017,
0.419703308,
0.419703308,
0.419985842,
0.424676547,
0.426628646,
0.434857089,
0.437560248,
0.446477303,
0.450864946,
0.450864946,
0.455258198,
0.45701845,
0.463674295,
0.465696477,
0.466024276,
0.467995424,
0.473147068,
0.473437264,
0.481040043,
0.482609834,
0.483157427,
0.484853705,
0.485617585,
0.486286128,
0.486728235,
0.491058971,
0.493111596,
0.497457182,
0.497809146,
0.507505794,
0.513516139,
0.514838579,
0.521786304,
0.5221943,
0.522654714,
0.522797356,
0.524007281,
0.527504319,
0.538692977,
0.540025268,
0.540080938,
0.544089005,
0.544654366,
0.557082454,
0.558072685,
0.56094427,
0.561086001,
0.564095828,
0.567426106,
0.568155392,
0.568922017,
0.570269711,
0.574114593,
0.574929036,
0.580194644,
0.583300759,
0.588619536,
0.588991702,
0.590324085,
0.601092639,
0.605793478,
0.61440071,
0.619571609,
0.621599011,
0.626501067,
0.63320124,
0.636713442,
0.642853658,
0.642996937,
0.644269994,
0.644937712,
0.649135247,
0.650167787,
0.652079113,
0.658475325,
0.658539964,
0.659046139,
0.659867602,
0.660045577,
0.662944198,
0.663078063,
0.663078063,
0.663740152,
0.664247644,
0.669472451,
0.669517579,
0.6730072,
0.674167332,
0.676693727,
0.680408468,
0.683187611,
0.684011735,
0.684011735,
0.685151346,
0.685151346,
0.685195175,
0.685559277,
0.693495357,
0.699127357,
0.699448187,
0.706393452,
0.708426513,
0.710088381,
0.711814835,
0.713742441,
0.714262039,
0.714346825,
0.714382349,
0.71479727,
0.721539439,
0.723315277,
0.729074852,
0.730896621,
0.734867966,
0.739830164,
